GAME_ID,GAME_DATE,home_team,home_matchup,home_wl,home_pts,home_days_rest,home_is_b2b,home_travel_miles,home_fatigue_score,away_team,away_matchup,away_wl,away_pts,away_days_rest,away_is_b2b,away_travel_miles,away_fatigue_score,home_win,point_diff,rest_diff,travel_diff,fatigue_diff
0022300570,2024-01-17,Atlanta Hawks,ATL vs. ORL,W,106,1.0,0,0.0,0.0,Orlando Magic,ORL @ ATL,L,104,1.0,0,748.3180033332789,0.9977573377777051,1,2,0.0,-748.3180033332789,-0.9977573377777051
0022300595,2024-01-20,Atlanta Hawks,ATL vs. CLE,L,95,0.0,1,604.6287783705598,2.80617170449408,Cleveland Cavaliers,CLE @ ATL,W,116,2.0,0,553.9402310476668,0.7385869747302224,0,-21,-2.0,50.68854732289299,2.0675847297638574
0022300634,2024-01-26,Atlanta Hawks,ATL vs. DAL,L,143,1.0,0,2137.933198180773,2.850577597574364,Dallas Mavericks,DAL @ ATL,W,148,1.0,0,721.2746160186691,0.9616994880248921,0,-5,0.0,1416.658582162104,1.888878109549472
0022300653,2024-01-28,Atlanta Hawks,ATL vs. TOR,W,126,1.0,0,0.0,0.0,Toronto Raptors,TOR @ ATL,L,125,1.0,0,733.5064315167397,0.9780085753556529,1,1,0.0,-733.5064315167397,-0.9780085753556529
0022300669,2024-01-30,Atlanta Hawks,ATL vs. LAL,W,138,1.0,0,0.0,0.0,Los Angeles Lakers,LAL @ ATL,L,122,0.0,1,701.6032545451217,2.9354710060601623,1,16,1.0,-701.6032545451217,-2.9354710060601623
0022300690,2024-02-02,Atlanta Hawks,ATL vs. PHX,W,129,2.0,0,0.0,0.0,Phoenix Suns,PHX @ ATL,L,120,1.0,0,746.2803443227598,0.995040459097013,1,9,1.0,-746.2803443227598,-0.995040459097013
0022300699,2024-02-03,Atlanta Hawks,ATL vs. GSW,W,141,0.0,1,0.0,2.0,Golden State Warriors,GSW @ ATL,L,134,0.0,1,336.5532077508708,2.4487376103344944,1,7,0.0,-336.5532077508708,-0.44873761033449444
0022300716,2024-02-05,Atlanta Hawks,ATL vs. LAC,L,144,1.0,0,0.0,0.0,LA Clippers,LAC @ ATL,W,149,0.0,1,604.6287783705598,2.80617170449408,0,-5,1.0,-604.6287783705598,-2.80617170449408
0022300754,2024-02-10,Atlanta Hawks,ATL vs. HOU,W,122,0.0,1,663.3771448099112,2.884502859746548,Houston Rockets,HOU @ ATL,L,113,0.0,1,733.5064315167397,2.978008575355653,1,9,0.0,-70.12928670682845,-0.09350571560910481
0022300763,2024-02-12,Atlanta Hawks,ATL vs. CHI,L,126,1.0,0,0.0,0.0,Chicago Bulls,CHI @ ATL,W,136,1.0,0,401.30219620505153,0.5350695949400687,0,-10,0.0,-401.30219620505153,-0.5350695949400687
0022300804,2024-02-23,Atlanta Hawks,ATL vs. TOR,L,121,8.0,0,226.8062062642045,0.3024082750189393,Toronto Raptors,TOR @ ATL,W,123,0.0,1,733.5064315167397,2.978008575355653,0,-2,8.0,-506.7002252525352,-2.6756003003367135
0022300821,2024-02-25,Atlanta Hawks,ATL vs. ORL,W,109,1.0,0,0.0,0.0,Orlando Magic,ORL @ ATL,L,92,0.0,1,596.5091448901592,2.7953455265202125,1,17,1.0,-596.5091448901592,-2.7953455265202125
0022300835,2024-02-27,Atlanta Hawks,ATL vs. UTA,W,124,1.0,0,0.0,0.0,Utah Jazz,UTA @ ATL,L,97,1.0,0,1583.6127182777454,2.111483624370327,1,27,0.0,-1583.6127182777454,-2.111483624370327
0022300895,2024-03-06,Atlanta Hawks,ATL vs. CLE,W,112,0.0,1,748.3180033332789,2.9977573377777054,Cleveland Cavaliers,CLE @ ATL,L,101,0.0,1,553.9402310476668,2.7385869747302225,1,11,0.0,194.37777228561208,0.25917036304748287
0022300925,2024-03-10,Atlanta Hawks,ATL vs. NOP,L,103,1.0,0,336.5532077508708,0.4487376103344944,New Orleans Pelicans,NOP @ ATL,W,116,1.0,0,663.3771448099112,0.8845028597465483,0,-13,0.0,-326.8239370590404,-0.4357652494120539
0022301021,2024-03-23,Atlanta Hawks,ATL vs. CHA,W,132,1.0,0,1591.3779568510654,2.1218372758014206,Charlotte Hornets,CHA @ ATL,L,91,3.0,0,401.30219620505153,0.5350695949400687,1,41,-2.0,1190.0757606460138,1.5867676808613518
0022301034,2024-03-25,Atlanta Hawks,ATL vs. BOS,W,120,1.0,0,0.0,0.0,Boston Celtics,BOS @ ATL,L,118,1.0,0,588.1268461759132,0.784169128234551,1,2,0.0,-588.1268461759132,-0.784169128234551
0022301051,2024-03-27,Atlanta Hawks,ATL vs. POR,W,120,1.0,0,0.0,0.0,Portland Trail Blazers,POR @ ATL,L,106,1.0,0,701.6032545451217,0.9354710060601622,1,14,0.0,-701.6032545451217,-0.9354710060601622
0022301060,2024-03-28,Atlanta Hawks,ATL vs. BOS,W,123,0.0,1,0.0,2.0,Boston Celtics,BOS @ ATL,L,122,2.0,0,0.0,0.0,1,1,-2.0,0.0,2.0
0022301076,2024-03-30,Atlanta Hawks,ATL vs. MIL,L,113,1.0,0,0.0,0.0,Milwaukee Bucks,MIL @ ATL,W,122,1.0,0,424.90250032150504,0.56653666709534,0,-9,0.0,-424.90250032150504,-0.56653666709534
0022301104,2024-04-03,Atlanta Hawks,ATL vs. DET,W,121,1.0,0,588.1268461759132,0.784169128234551,Detroit Pistons,DET @ ATL,L,113,1.0,0,596.5091448901592,0.7953455265202123,1,8,0.0,-8.382298714245962,-0.011176398285661304
0022301147,2024-04-09,Atlanta Hawks,ATL vs. MIA,L,111,2.0,0,1212.6032440903773,1.6168043254538365,Miami Heat,MIA @ ATL,W,117,1.0,0,425.50651352182496,0.5673420180290999,0,-6,1.0,787.0967305685524,1.0494623074247365
0022301159,2024-04-10,Atlanta Hawks,ATL vs. CHA,L,114,0.0,1,0.0,2.0,Charlotte Hornets,CHA @ ATL,W,115,0.0,1,226.8062062642045,2.3024082750189394,0,-1,0.0,-226.8062062642045,-0.3024082750189394
0012300006,2023-10-08,Boston Celtics,BOS vs. PHI,W,114,5.0,0,0.0,0.0,Philadelphia 76ers,PHI @ BOS,L,106,5.0,0,0.0,0.0,1,8,0.0,0.0,0.0
0012300051,2023-10-17,Boston Celtics,BOS vs. NYK,W,123,5.0,0,273.64626899850776,0.36486169199801033,New York Knicks,NYK @ BOS,L,110,2.0,0,188.44908969543397,0.2512654529272453,1,13,3.0,85.1971793030738,0.11359623907076505
0022300080,2023-10-27,Boston Celtics,BOS vs. MIA,W,119,1.0,0,188.44908969543397,0.2512654529272453,Miami Heat,MIA @ BOS,L,111,1.0,0,1255.3568490863397,1.6738091321151196,1,8,0.0,-1066.9077593909058,-1.4225436791878743
0022300118,2023-11-01,Boston Celtics,BOS vs. IND,W,155,1.0,0,394.0251346074482,0.5253668461432642,Indiana Pacers,IND @ BOS,L,104,1.0,0,807.3098990745785,1.0764131987661048,1,51,0.0,-413.28476446713034,-0.5510463526228405
0022300010,2023-11-10,Boston Celtics,BOS vs. BKN,W,121,1.0,0,273.64626899850776,0.36486169199801033,Brooklyn Nets,BKN @ BOS,L,107,1.0,0,190.57999704202606,0.25410666272270144,1,14,0.0,83.0662719564817,0.11075502927530889
0022300174,2023-11-11,Boston Celtics,BOS vs. TOR,W,117,0.0,1,0.0,2.0,Toronto Raptors,TOR @ BOS,L,94,2.0,0,1551.7158608463303,2.0689544811284404,1,23,-2.0,-1551.7158608463303,-0.06895448112844038
